trial,seed,analysis,operator,sigma_r,kendall_tau,jaccard_top_k,delta_r_bar,policy_violation_rate,predictive_utility
6,48,score_uncertainty,min,0.02,0.9748571640570408,0.8867924528301887,-0.0015795638815373492,0.0,0.7503385007631708
6,48,score_uncertainty,min,0.05,0.9360542435051774,0.8181818181818182,0.006346226369044694,0.0,0.7582642910137528
6,48,score_uncertainty,min,0.1,0.8726772966518799,0.680672268907563,0.022510980927134994,0.0,0.7744290455718431
6,48,score_uncertainty,min,0.2,0.7644526063979603,0.5625,0.03946935541297769,0.0,0.7913874200576858
7,49,score_uncertainty,linear,0.0,1.0,1.0,0.0,0.06,0.8502885879400794
7,49,score_uncertainty,linear,0.02,0.9447927927927928,0.8348623853211009,0.008258264949478233,0.09,0.8585468528895577
7,49,score_uncertainty,linear,0.05,0.8604690738076126,0.5748031496062992,0.011094514172763525,0.12,0.861383102112843
7,49,score_uncertainty,linear,0.1,0.7344780421432743,0.4492753623188406,0.05700553883079296,0.2,0.9072941267708724
7,49,score_uncertainty,linear,0.2,0.5413791782221018,0.3698630136986301,0.0954459479365205,0.0,0.9457345358766
7,49,score_uncertainty,geometric,0.0,0.9999999999999999,1.0,0.0,0.0,0.8161713951729296
7,49,score_uncertainty,geometric,0.02,0.9661884904086737,0.7857142857142857,0.004260530833061438,0.0,0.820431926005991
7,49,score_uncertainty,geometric,0.05,0.9148582151793159,0.680672268907563,0.001984824590060885,0.0,0.8181562197629905
7,49,score_uncertainty,geometric,0.1,0.8335864816749712,0.6129032258064516,0.03712213839862222,0.0,0.8532935335715518
7,49,score_uncertainty,geometric,0.2,0.7119967408790705,0.4084507042253521,0.10482567476936921,0.0,0.9209970699422988
7,49,score_uncertainty,min,0.0,0.9999999999999999,1.0,0.0,0.0,0.7330949796874516
7,49,score_uncertainty,min,0.02,0.9717889908256879,0.8867924528301887,-0.0015942481745845338,0.0,0.7315007315128671
7,49,score_uncertainty,min,0.05,0.9304045037531276,0.8181818181818182,0.004181704216555615,0.0,0.7372766839040072
7,49,score_uncertainty,min,0.1,0.8620632977353154,0.7241379310344828,0.02194156950909809,0.0,0.7550365491965497
7,49,score_uncertainty,min,0.2,0.7672094097650691,0.48148148148148145,0.06221971770246015,0.0,0.7953146973899118
8,50,score_uncertainty,linear,0.0,1.0,1.0,0.0,0.11,0.8584857462988993
8,50,score_uncertainty,linear,0.02,0.942858858858859,0.8018018018018018,0.00820339860266528,0.14,0.8666891449015646
8,50,score_uncertainty,linear,0.05,0.8645247317634954,0.7391304347826086,0.017235630648591127,0.15,0.8757213769474904
8,50,score_uncertainty,linear,0.1,0.7391556085318073,0.48148148148148145,0.0496004468598209,0.12,0.9080861931587202
8,50,score_uncertainty,linear,0.2,0.5487388278723839,0.3422818791946309,0.08130114264510091,0.0,0.9397868889440002
8,50,score_uncertainty,geometric,0.0,0.9999999999999999,1.0,0.0,0.0,0.8177021275194933
8,50,score_uncertainty,geometric,0.02,0.9665221017514594,0.8691588785046729,-0.000738573074928528,0.0,0.8169635544445648
