trial,seed,analysis,operator,lambda,kendall_tau,jaccard_top_k,delta_r_bar,policy_violation_rate,predictive_utility
7,49,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7330949796874516
7,49,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7330949796874516
7,49,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7330949796874516
7,49,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.7330949796874516
7,49,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.7330949796874516
8,50,lambda_perturbation,linear,0.7,0.9247927927927927,0.7857142857142857,-0.03235515873499428,0.0,0.826130587563905
8,50,lambda_perturbation,linear,0.725,0.9635675675675677,0.8691588785046729,-0.019774169876154324,0.04,0.838711576422745
8,50,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.11,0.8584857462988993
8,50,lambda_perturbation,linear,0.775,0.9661141141141142,0.8181818181818182,0.022169818734405822,0.21,0.8806555650333051
8,50,lambda_perturbation,linear,0.8,0.9341541541541541,0.7543859649122807,0.02820763744793231,0.24,0.8866933837468316
8,50,lambda_perturbation,geometric,0.7,0.9653586321934944,0.8867924528301887,-0.011911066498075273,0.0,0.8057910610214181
8,50,lambda_perturbation,geometric,0.725,0.9827022518765637,0.9607843137254902,-0.003872115122963926,0.0,0.8138300123965294
8,50,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.8177021275194933
8,50,lambda_perturbation,geometric,0.775,0.9836613844870724,0.9230769230769231,0.008377192669551725,0.0,0.8260793201890451
8,50,lambda_perturbation,geometric,0.8,0.9668390325271058,0.8691588785046729,0.013185575021643303,0.0,0.8308877025411366
8,50,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7394517066923747
8,50,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7394517066923747
8,50,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7394517066923747
8,50,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.7394517066923747
8,50,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.7394517066923747
9,51,lambda_perturbation,linear,0.7,0.9249529529529529,0.8348623853211009,-0.022490410025265528,0.0,0.8291309710810001
9,51,lambda_perturbation,linear,0.725,0.9644164164164164,0.8691588785046729,-0.017439135365224567,0.0,0.834182245741041
9,51,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.07,0.8516213811062656
9,51,lambda_perturbation,linear,0.775,0.9662822822822823,0.9047619047619048,0.008999125866637536,0.1,0.8606205069729032
9,51,lambda_perturbation,linear,0.8,0.9351831831831833,0.7857142857142857,0.022563132020112397,0.15,0.874184513126378
9,51,lambda_perturbation,geometric,0.7,0.9625354462051707,0.941747572815534,-0.007548864110529907,0.0,0.8087193503534904
9,51,lambda_perturbation,geometric,0.725,0.9814011676396995,0.941747572815534,-0.007548864110529907,0.0,0.8087193503534904
9,51,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.8162682144640203
9,51,lambda_perturbation,geometric,0.775,0.982160133444537,0.941747572815534,0.005188271115880272,0.0,0.8214564855799006
9,51,lambda_perturbation,geometric,0.8,0.9649332777314427,0.8867924528301887,0.009777277381342042,0.0,0.8260454918453624
9,51,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7401088943737613
9,51,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7401088943737613
9,51,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7401088943737613
