trial,seed,sigma_r,config_id,operator,lambda,policy_violation_rate,kendall_tau,jaccard_top_k
10,52,0.2,geometric@0.50,geometric,0.5,0.0,0.2800196850393701,0.5625
10,52,0.2,geometric@0.90,geometric,0.9,0.0,0.04816310450113266,0.3986013986013986
10,52,0.2,min,min,,0.0,0.22698643410852715,0.5503875968992248
11,53,0.0,linear@0.10,linear,0.1,0.0,1.0,1.0
11,53,0.0,linear@0.50,linear,0.5,0.0,1.0,1.0
11,53,0.0,linear@0.90,linear,0.9,0.47,1.0,1.0
11,53,0.0,geometric@0.10,geometric,0.1,0.0,1.0,1.0
11,53,0.0,geometric@0.50,geometric,0.5,0.0,1.0,1.0
11,53,0.0,geometric@0.90,geometric,0.9,0.0,1.0,1.0
11,53,0.0,min,min,,0.0,1.0,1.0
11,53,0.05,linear@0.10,linear,0.1,0.0,0.9390099009900992,0.9801980198019802
11,53,0.05,linear@0.50,linear,0.5,0.0,0.7061425061425061,0.8018018018018018
11,53,0.05,linear@0.90,linear,0.9,0.46,0.36648884775178053,0.5873015873015873
11,53,0.05,geometric@0.10,geometric,0.1,0.0,0.8713116314486961,0.941747572815534
11,53,0.05,geometric@0.50,geometric,0.5,0.0,0.7137417791623398,0.8518518518518519
11,53,0.05,geometric@0.90,geometric,0.9,0.0,0.5646071700991611,0.7391304347826086
11,53,0.05,min,min,,0.0,0.6912426445136726,0.8518518518518519
11,53,0.1,linear@0.10,linear,0.1,0.0,0.8880639634494576,0.941747572815534
11,53,0.1,linear@0.50,linear,0.5,0.0,0.46487034622627854,0.6949152542372882
11,53,0.1,linear@0.90,linear,0.9,0.47,0.12367174210616326,0.41843971631205673
11,53,0.1,geometric@0.10,geometric,0.1,0.0,0.7875280059746079,0.9230769230769231
11,53,0.1,geometric@0.50,geometric,0.5,0.0,0.43598200899550227,0.7241379310344828
11,53,0.1,geometric@0.90,geometric,0.9,0.0,0.3033370828646419,0.5748031496062992
11,53,0.1,min,min,,0.0,0.4431731502669718,0.7391304347826086
11,53,0.2,linear@0.10,linear,0.1,0.0,0.7484276729559749,0.8867924528301887
11,53,0.2,linear@0.50,linear,0.5,0.0,0.22966507177033496,0.5037593984962406
11,53,0.2,linear@0.90,linear,0.9,0.4,-0.2281954655371844,0.28205128205128205
11,53,0.2,geometric@0.10,geometric,0.1,0.0,0.5973287135413022,0.7699115044247787
11,53,0.2,geometric@0.50,geometric,0.5,0.0,0.2116825396825397,0.5873015873015873
11,53,0.2,geometric@0.90,geometric,0.9,0.0,-0.018065268065268064,0.3888888888888889
